modelo,fold,acuracia,f1_macro,precisao,recall,tempo_ms
KNN,1,0.9209482038429407,0.908886522543907,0.9319765929161252,0.8898375758926625,146.04439999948227
KNN,2,0.9201127819548872,0.9087855808530995,0.9275360578553621,0.8926677896813743,147.20909999959986
KNN,3,0.9204260651629073,0.9081475253871784,0.9296139025802307,0.8901544801483552,151.77889999995386
KNN,4,0.9194862155388471,0.907134870790418,0.9270845446475598,0.8903789182081789,195.03379999969184
KNN,5,0.9243943191311612,0.9131118489081556,0.9337621262804755,0.8955882624172148,152.53990000019257
KNN,6,0.9199039264828739,0.9078682954256804,0.9283959180687772,0.8905355452735054,171.47429999931774
KNN,7,0.9170843776106934,0.9044674738508229,0.9246903594515565,0.8873765553364269,143.43319999989035
KNN,8,0.9193733681462141,0.9079555529117777,0.927162155126631,0.8916867214001539,131.69990000005782
KNN,9,0.919686684073107,0.9081676657293852,0.9273522191501051,0.8917813511737832,130.3885999996055
KNN,10,0.9197911227154048,0.9075442801817467,0.9310354311549731,0.8880832644114788,135.48830000036105
KNN,11,0.9203216374269005,0.9087453478526478,0.930233384729719,0.8907902747225999,129.84700000015437
KNN,12,0.9160401002506265,0.9031253281046517,0.9240092848949123,0.8855117377664533,138.4449000006498
KNN,13,0.9197994987468672,0.9083855721454595,0.9269001546738261,0.8925574619896973,158.23809999983496
KNN,14,0.9226190476190477,0.9119409207192533,0.9311967484860147,0.8954900854555569,163.76799999943614
KNN,15,0.918546365914787,0.9052611672829217,0.9276869555072618,0.8866441464844268,157.20629999941593
KNN,16,0.9177109440267335,0.9058664541801754,0.9280691306804667,0.8873447480199811,142.97669999996288
KNN,17,0.9217836257309941,0.9099949907582779,0.9306044273564901,0.8925445216696133,141.37059999939083
KNN,18,0.9227154046997389,0.9106946277603895,0.9333537102606261,0.8918566364258421,142.31410000047617
KNN,19,0.9186422976501305,0.9067417039300122,0.9238174279610658,0.8920254220968808,139.8110000000088
KNN,20,0.9168668407310705,0.9048591209893719,0.9273624071846456,0.8860620089891006,138.55160000002797
KNN,21,0.9207393483709273,0.9085370159275509,0.92927293678822,0.89113448252631,160.42279999965103
KNN,22,0.9159356725146199,0.9027936553864565,0.9270849248790425,0.8827301728851985,132.50800000059826
KNN,23,0.9183375104427736,0.9063971401762331,0.9276288380808744,0.8886725239950662,132.85649999943416
KNN,24,0.9246031746031746,0.9140841571119633,0.9309100771519035,0.8996252870077303,136.31040000018402
